"","html_form","attachments","flash_content","html_iframe","html_content","urls","external_resources","javascript","css","ips_in_urls","at_in_urls","encoding","is_phishy"
"336","False","0","False","False","True","0","0","0","0","False","False","none","True"
"337","False","0","False","False","True","8","0","0","0","False","False","other","True"
"338","False","0","False","False","False","6","1","0","1","False","False","other","True"
"339","False","0","False","False","True","18","0","0","0","False","False","none","True"
"340","False","0","False","False","False","10","0","0","0","False","False","none","True"
"341","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"342","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"343","False","0","False","False","False","0","0","0","0","False","False","base64","True"
"344","False","0","False","False","True","4","0","0","0","False","False","7bit","True"
"345","False","0","False","False","True","12","0","0","0","False","False","none","True"
"346","False","0","False","False","False","4","2","0","2","False","False","8bit","True"
"347","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"348","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"349","False","0","False","False","False","0","0","0","0","False","False","7bit","True"
"350","False","0","False","False","True","4","0","0","0","False","True","none","True"
"351","False","0","False","False","True","5","0","0","0","False","False","8bit","True"
"352","False","0","False","False","True","1","0","0","0","False","False","none","True"
"353","False","0","False","False","True","8","0","0","0","True","False","none","True"
"354","False","1","False","False","False","0","0","0","0","False","False","none","True"
"355","False","0","False","False","True","1","0","0","0","False","False","none","True"
"356","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"357","False","0","False","False","False","0","0","0","0","False","False","none","True"
"358","False","0","False","False","True","12","2","0","2","False","False","none","True"
"359","False","0","False","False","True","7","0","0","0","True","False","none","True"
"360","False","0","False","False","True","7","0","0","0","False","False","none","True"
"361","False","0","False","False","False","5","0","0","0","False","False","other","True"
"362","False","0","False","False","True","12","1","0","1","False","False","none","True"
"363","False","0","False","False","True","1","0","0","0","False","False","other","True"
"364","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"365","False","0","False","False","True","11","0","0","0","False","False","none","True"
"366","False","0","False","False","True","0","1","0","1","False","False","base64","True"
"367","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"368","False","0","False","False","False","4","2","0","2","False","False","8bit","True"
"369","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"370","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"371","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"372","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"373","False","0","False","False","True","7","0","0","0","False","False","none","True"
"374","False","1","False","False","False","0","0","0","0","False","False","none","True"
"375","False","1","False","False","False","0","0","0","0","False","False","none","True"
"376","False","0","False","False","True","8","0","1","0","False","False","none","True"
"377","False","0","False","False","True","6","1","0","1","False","True","none","True"
"378","False","0","False","False","True","8","1","0","1","False","True","none","True"
"379","False","0","False","False","True","6","0","0","0","False","False","other","True"
"380","False","1","False","False","True","14","0","0","0","False","False","none","True"
"381","False","0","False","False","True","11","2","0","2","False","False","none","True"
"382","False","0","False","False","True","5","0","0","0","False","False","none","True"
"383","False","0","False","False","True","6","0","0","0","False","False","none","True"
"384","False","0","False","False","True","5","0","0","0","False","False","none","True"
"385","False","0","False","False","False","0","0","0","0","False","False","base64","True"
"386","False","1","False","False","False","0","0","0","0","False","False","none","True"
"387","False","0","False","False","True","6","0","0","0","False","False","none","True"
"388","False","0","False","False","False","1","0","0","0","False","False","8bit","True"
"389","False","0","False","False","True","7","0","0","0","False","False","none","True"
"390","False","0","False","False","True","6","0","0","0","False","False","other","True"
